traffic_density,delay_seconds,speed_delta,precipitation_mm,visibility_km,road_condition,time_of_day,news_sentiment,risk_score
10,30,5,0.0,10.0,0,9,0.0,0.08
20,120,15,2.0,8.0,1,8,0.1,0.25
40,300,25,5.0,5.0,1,18,0.2,0.52
60,600,40,10.0,2.0,2,3,0.5,0.78
80,900,55,20.0,0.5,2,3,0.8,0.95
15,60,8,0.0,10.0,0,14,0.0,0.10
35,240,20,3.0,6.0,1,17,0.1,0.45
50,480,35,8.0,3.0,2,19,0.3,0.70
70,720,50,15.0,1.0,2,2,0.6,0.88
5,20,2,0.0,10.0,0,11,0.0,0.05
25,150,12,1.0,9.0,0,10,0.0,0.18
45,360,28,6.0,4.0,1,20,0.4,0.60
55,540,38,12.0,1.5,2,22,0.7,0.82
30,200,18,2.5,7.0,1,15,0.1,0.35
65,650,45,18.0,0.8,2,4,0.9,0.92
12,45,6,0.0,10.0,0,13,0.0,0.09
28,180,16,1.5,8.5,1,16,0.2,0.30
42,320,26,4.0,5.5,1,7,0.1,0.48
58,580,42,11.0,2.0,2,21,0.5,0.75
75,800,52,16.0,0.7,2,3,0.7,0.90
